,Date,Country,Confirmed,Recovered,Deaths
14747,2020-04-09,Sweden,905.114924147983,20.298496822047532,78.52052673113997
14759,2020-04-09,US,1404.635387227166,77.12473570474585,61.478218091287964
14763,2020-04-09,United Kingdom,970.3325592709803,5.288277094642366,141.75234117477294
14839,2020-04-10,Germany,1458.1671942040925,643.4765037621468,33.02542032366702
14858,2020-04-10,Italy,2440.8292782679346,503.70623924900184,311.7504154852877
14934,2020-04-10,Sweden,958.9802035196603,37.72549897170786,86.14484017161637
14946,2020-04-10,US,1507.088966672805,87.38375210309457,67.78538852790591
14950,2020-04-10,United Kingdom,1098.974687035637,8.661579196795852,158.73669630046277
15026,2020-04-11,Germany,1490.8345507006145,685.0954559372921,32.655421035617266
15045,2020-04-11,Italy,2518.46503880101,538.0915707675924,321.98827994416575
15121,2020-04-11,Sweden,1005.1221523931928,37.72549897170786,87.82813015198128
15133,2020-04-11,US,1597.7234307766782,94.91107774448653,73.88312933982382
15137,2020-04-11,United Kingdom,1176.5900965388978,9.162418810216021,171.11038086731398
15213,2020-04-12,Germany,1525.9964185262463,719.7082925613016,36.0689628543989
15232,2020-04-12,Italy,2586.144104012204,565.8280791642621,329.1167445350809
15308,2020-04-12,Sweden,1037.995815539143,37.72549897170786,89.01633484400358
15320,2020-04-12,US,1685.492654797699,100.12557187832176,79.17653898441559
15324,2020-04-12,United Kingdom,1255.1335323846724,9.221341117677216,181.21555659690912
15400,2020-04-13,Germany,1552.469270813161,767.450136180625,38.121862130029804
15419,2020-04-13,Italy,2638.2927092445834,586.072257028021,338.4780228609694
15495,2020-04-13,Sweden,1084.0387473550068,37.72549897170786,90.99667599737407
15507,2020-04-13,US,1762.3017284594187,131.97708610443757,84.59135710709432
15511,2020-04-13,United Kingdom,1319.4177698248375,4.4780953670509165,192.18983636155693
15587,2020-04-14,Germany,1567.8302089976785,813.9984337094654,39.31540822051289
15606,2020-04-14,Italy,2687.447690135998,614.1064739226872,348.4347181828508
15682,2020-04-14,Sweden,1133.2502250162636,37.72549897170786,102.28462057158586
15694,2020-04-14,US,1844.4072469776825,144.97082847169523,91.85158409669495
15698,2020-04-14,United Kingdom,1397.12156278929,4.757976327491599,207.62748091639037
15774,2020-04-15,Germany,1608.3391633086744,866.5144616907213,45.40249328197664
15793,2020-04-15,Italy,2731.5581659224727,630.0173392044977,357.994468840737
15869,2020-04-15,Sweden,1180.9764468124924,37.72549897170786,119.11752037523505
15881,2020-04-15,US,1931.4571257660377,158.12240186046594,99.35462804246953
15885,2020-04-15,United Kingdom,1465.4419782905472,5.4208522864300575,220.08954894443337
15961,2020-04-16,Germany,1643.4890956734014,919.0304896719771,48.36248758637469
15980,2020-04-16,Italy,2794.176186667727,664.2868951960896,366.6776333656336
16056,2020-04-16,Sweden,1241.6739031632978,54.45938171768851,131.98973787214322
16068,2020-04-16,US,2026.2832175758635,166.03519941978402,105.70732665837008
16072,2020-04-16,United Kingdom,1534.1159276365715,5.523966324487151,235.3062348462873
16148,2020-04-17,Germany,1687.6383655603709,992.0038976441131,51.94312585782395
16167,2020-04-17,Italy,2851.948174640039,706.6772774385848,376.18776594052036
16243,2020-04-17,Sweden,1308.6094341472206,54.45938171768851,138.6238807359344
16255,2020-04-17,US,2123.756014207985,177.69648374003722,113.55031434278816
16259,2020-04-17,United Kingdom,1616.9606919270134,5.803847284927833,249.09405479220723
16335,2020-04-18,Germany,1710.8528370202669,1019.2883612725565,53.22022017464086
16354,2020-04-18,Italy,2909.6870838903515,743.0638716381516,384.1597379424254
16430,2020-04-18,Sweden,1368.6137710943465,54.45938171768851,149.6147741371406
16442,2020-04-18,US,2222.373085746076,196.80314297897365,120.65878073478008
16446,2020-04-18,United Kingdom,1698.6417406450967,6.098458822233814,265.5628397276116
16522,2020-04-19,Germany,1732.8379560069652,1050.3205596251166,54.73602370955438
16541,2020-04-19,Italy,2960.082516856751,778.2596318457324,391.3212812553401
16617,2020-04-19,Sweden,1424.3603745617258,54.45938171768851,152.48626880952781
16629,2020-04-19,US,2303.146146217335,213.4877030800751,124.2767533817717
16633,2020-04-19,United Kingdom,1784.9334599220188,6.4225315132703935,272.91339758339586
16709,2020-04-20,Germany,1755.288557968952,1092.0946727920248,58.0302109192877
16728,2020-04-20,Italy,2997.395315272307,808.3943475873737,398.83015114925075
16804,2020-04-20,Sweden,1463.1750611677874,54.45938171768851,156.4469511162688
16816,2020-04-20,US,2380.595649600964,219.53384528880608,129.47910666779822
16820,2020-04-20,United Kingdom,1853.9314819590795,6.569837281923385,281.2361735122898
16896,2020-04-21,Germany,1769.921433038275,1136.255878139899,60.07117473401378
16915,2020-04-21,Italy,3042.5312314407697,853.4310275898373,407.66216992314554
16991,2020-04-21,Sweden,1517.1393575971333,54.45938171768851,174.76510678494583
17003,2020-04-21,US,2464.1823515518886,228.26007965130682,136.84556607572497
17007,2020-04-21,United Kingdom,1917.5086517097102,9.398108040060805,298.50040959842033
17083,2020-04-22,Germany,1798.053314390961,1186.3848139401887,63.00729811660217
17102,2020-04-22,Italy,3098.2688780101057,902.1063670122577,414.8898706800595
17178,2020-04-22,Sweden,1584.668990927067,54.45938171768851,191.79604070393208
17190,2020-04-22,US,2550.643399221522,234.8222078919074,143.9054690764821
17194,2020-04-22,United Kingdom,1983.295407990136,10.060983998999264,310.97720820332864
17270,2020-04-23,Germany,1827.6651928958465,1232.933111469029,66.54019454443211
17289,2020-04-23,Italy,3142.0320272155845,952.2702489246603,422.5641341839681
17365,2020-04-23,Sweden,1659.030801236129,54.45938171768851,200.11347354808814
17377,2020-04-23,US,2638.11517247123,243.43310420022556,150.9228791099088
17381,2020-04-23,United Kingdom,2051.173906185434,10.488170728092937,321.71579873813164
17457,2020-04-24,Germany,1849.9845047878803,1310.5136073504298,68.74825481182582
17476,2020-04-24,Italy,3191.99743679599,1000.5982617660849,429.5106658038854
17552,2020-04-24,Sweden,1739.4326520629709,99.51214295686718,213.08470810266485
17564,2020-04-24,US,2747.953422596509,300.7257650094653,156.29216905330492
17568,2020-04-24,United Kingdom,2130.630637796857,10.664937650476526,336.6378731026796
17644,2020-04-25,Germany,1868.0547925977942,1310.5136073504298,70.14470373769103
17663,2020-04-25,Italy,3230.9807106725257,1043.9644663075685,436.37450061880367
17739,2020-04-25,Sweden,1799.8330572407708,99.51214295686718,217.04539040940583
17751,2020-04-25,US,2847.4962337800134,304.6502940636265,163.15781848912292
17755,2020-04-25,United Kingdom,2203.2376511659163,11.401466493741479,349.07047997699203
17831,2020-04-26,Germany,1883.0576669551667,1336.7716213410577,71.32631436726929
17850,2020-04-26,Italy,3269.418185636068,1073.8676309952125,440.67473447875244
17926,2020-04-26,Sweden,1845.6779549412977,99.51214295686718,217.24342452474286
17938,2020-04-26,US,2931.362175230538,324.7312563392109,166.57546714727104
17942,2020-04-26,United Kingdom,2269.0538686000727,11.460388801202676,355.25732226041765
18018,2020-04-27,Germany,1894.8499023291395,1366.6102736031348,73.11663350299392
18037,2020-04-27,Italy,3298.180134414725,1101.9183872508784,446.1823416916869
18113,2020-04-27,Sweden,1873.9968334344958,99.51214295686718,225.16478913822485
18125,2020-04-27,US,2999.3873455026655,338.1954565590556,170.63658073928008
18129,2020-04-27,United Kingdom,2332.5573854663767,11.887575530296347,360.2804489714846
18205,2020-04-28,Germany,1908.6234242133144,1401.2231102271444,75.36050015310212
18224,2020-04-28,Italy,3332.7639382653133,1140.240086687422,452.50037759361163
18300,2020-04-28,Sweden,1942.8136885141203,99.51214295686718,233.18517080937534
18312,2020-04-28,US,3073.4009889564327,351.89033288726546,177.11979346912412
18316,2020-04-28,United Kingdom,2391.5091540813037,11.975958991488142,373.7000044957721
18392,2020-04-29,Germany,1928.0424191054742,1437.029492941637,77.18662567154125
18411,2020-04-29,Italy,3367.2650453109027,1178.4625499579668,457.842591196548
18487,2020-04-29,Sweden,2010.2443047863856,99.51214295686718,243.77999597990745
18499,2020-04-29,US,3156.3442259734966,366.4107868664667,185.04776708820307
18503,2020-04-29,United Kingdom,2451.771944037242,12.624104373561302,385.4402742574154
18579,2020-04-30,Germany,1945.5875466355756,1474.0294217466126,79.04855757269486
18598,2020-04-30,Italy,3398.226729102534,1256.0817711300426,462.55630908149186
18674,2020-04-30,Sweden,2088.4677803445197,99.51214295686718,256.0581111308045
18686,2020-04-30,US,3245.9285067419173,467.2617744013581,191.20621213916448
18690,2020-04-30,United Kingdom,2540.7446283036484,12.6535655272919,395.3981442183576
18766,2020-05-01,Germany,1958.334618881935,1514.6099888230376,80.39726465494076
18785,2020-05-01,Italy,3430.726573467147,1294.1884588735888,467.0053971904389
18861,2020-05-01,Sweden,2130.8470810266485,99.51214295686718,262.69225399459566
18873,2020-05-01,US,3349.23801595807,497.8202883358477,197.1157698100476
18877,2020-05-01,United Kingdom,2632.133127175964,13.13967456384677,406.3135016755442
18953,2020-05-02,Germany,1968.9571790872344,1539.6744567231824,81.3043596837079
18972,2020-05-02,Italy,3462.151359366773,1321.7264949382609,474.8450543043455
19048,2020-05-02,Sweden,2186.494667436359,99.51214295686718,264.276526917292
19060,2020-05-02,US,3437.4959091033907,532.3215425962115,201.44398205384798
19064,2020-05-02,United Kingdom,2703.060854782379,13.198596871307965,415.47592048576024
19140,2020-05-03,Germany,1977.2761953379015,1558.771194170912,81.94887457256877
19159,2020-05-03,Italy,3485.124531795499,1350.5049830779183,477.72290311831125
19235,2020-05-03,Sweden,2209.7636759884626,99.51214295686718,265.2666974939773
19247,2020-05-03,US,3514.8968490957845,546.7995036080824,205.42921534705266
19251,2020-05-03,United Kingdom,2767.0210195315076,13.27224975563446,420.11605219832944
19327,2020-05-04,Germany,1983.100700259459,1583.8356620710567,83.46467810748229
19346,2020-05-04,Italy,3505.319091576259,1370.765700302677,480.9480785132729
19422,2020-05-04,Sweden,2249.7665672865464,403.39549294156905,274.1782326841445
19434,2020-05-04,US,3582.6883080475945,568.1309732079625,209.19287816774866
19438,2020-05-04,United Kingdom,2825.796021224051,13.404824947422153,424.37318891240085
19514,2020-05-05,Germany,1993.3055193330895,1612.4807682426508,83.46467810748229
19533,2020-05-05,Italy,3523.0989046510467,1409.6662773742137,484.8513677092264
19609,2020-05-05,Sweden,2298.780010832466,403.39549294156905,282.5946825859691
19621,2020-05-05,US,3655.4605498129226,576.0559116150893,215.69430216930576
19625,2020-05-05,United Kingdom,2890.772595776885,13.640514177266937,434.5667481031878
19701,2020-05-06,Germany,2007.090976678169,1669.770980585839,86.83047808264459
19720,2020-05-06,Italy,3546.9817419347623,1542.2127164266353,490.9543919181537
19796,2020-05-06,Sweden,2368.2899853157705,403.39549294156905,291.2091666031307
19808,2020-05-06,US,3729.070510077051,576.417101837398,222.87864886010203
19812,2020-05-06,United Kingdom,2980.8648038850542,13.75835879218933,444.1268924887669
19888,2020-05-07,Germany,2022.2251411054947,1691.2548102145345,88.2269270085098
19907,2020-05-07,Italy,3570.1533866954865,1592.3435196170383,495.4861768320998
19983,2020-05-07,Sweden,2438.09701097208,492.2137936702356,301.01185531231465
19995,2020-05-07,US,3815.331233757841,591.9755983042429,229.6502067254026
19999,2020-05-07,United Kingdom,3063.6211847143045,14.288659559340097,452.0666734191631
